"prompt","query"
"Find 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Return 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Give me 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"I want 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Can you please give me 10 genes?","MATCH (g:Gene) RETURN g LIMIT 10"
"10 genes please.","MATCH (g:Gene) RETURN g LIMIT 10"
"Cypher query for 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Show me 10 genes from the database.","MATCH (g:Gene) RETURN g LIMIT 10"
"Provide a list of 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Retrieve 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Fetch 10 genes from the graph.","MATCH (g:Gene) RETURN g LIMIT 10"
"Display 10 genes from the database.","MATCH (g:Gene) RETURN g LIMIT 10"
"List 10 genes from the dataset.","MATCH (g:Gene) RETURN g LIMIT 10"
"Query to get 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Can you return 10 genes?","MATCH (g:Gene) RETURN g LIMIT 10"
"Show 10 genes from the graph database.","MATCH (g:Gene) RETURN g LIMIT 10"
"Find up to 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Provide me with a list of 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Retrieve up to 10 genes from the graph.","MATCH (g:Gene) RETURN g LIMIT 10"
"List up to 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Fetch a maximum of 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Give me a maximum of 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Please find 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Return the first 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Query to retrieve 10 genes.","MATCH (g:Gene) RETURN g LIMIT 10"
"Fetch 10 genes with a positive genetic constraint.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Provide a list of 10 genes where the genetic constraint is positive.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Retrieve 10 genes with genetic constraints greater than zero.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Return up to 10 genes with positive genetic constraints.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"List 10 genes that have positive genetic constraints.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Query for 10 genes with a positive genetic constraint.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Show 10 genes having genetic constraints greater than zero.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Find 10 genes with a positive value for genetic constraints.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
"Get up to 10 genes where the genetic constraint is greater than 0.","MATCH (g:Gene) WHERE g.geneticConstraint > 0 RETURN g LIMIT 10"
